"","Leg_Dist_Precinct","Leg_Dist_Legislative","Leg_Dist_Voted_of_Registered_Adults","Leg_Dist_Voted_of_Adjusted_Total_Adults","Leg_Dist_Registered_of_Adjusted_Total_Adults","Leg_Dist_Hispanic_Latino_of_Total_Adjusted_Adults","Leg_Dist_Female_of_Voted","Leg_Dist_Male_of_Voted","Leg_Dist_UnknownSex_of_Voted","Leg_Dist_Ages16to17_of_Voted","Leg_Dist_Ages18to29_of_Voted","Leg_Dist_Ages30to49_of_Voted","Leg_Dist_Ages50to64_of_Voted","Leg_Dist_Ages65plus_of_Voted","Leg_Dist_UnknownAge_of_Voted","Leg_Dist_Female_of_Registered","Leg_Dist_Male_of_Registered","Leg_Dist_UnknownSex_of_Registered","Leg_Dist_Ages16to17_of_Registered","Leg_Dist_Ages18to29_of_Registered","Leg_Dist_Ages30to49_of_Registered","Leg_Dist_Ages50to64_of_Registered","Leg_Dist_Ages65plus_of_Registered","Leg_Dist_UnknownAge_of_Registered","Council_Dist_Councilmanic","Council_Dist_Voted_of_Registered_Adults","Council_Dist_Voted_of_Adjusted_Total_Adults","Council_Dist_Registered_of_Adjusted_Total_Adults","Council_Dist_Hispanic_Latino_of_Total_Adjusted_Adults","Council_Dist_Female_of_Voted","Council_Dist_Male_of_Voted","Council_Dist_UnknownSex_of_Voted","Council_Dist_Ages16to17_of_Voted","Council_Dist_Ages18to29_of_Voted","Council_Dist_Ages30to49_of_Voted","Council_Dist_Ages50to64_of_Voted","Council_Dist_Ages65plus_of_Voted","Council_Dist_UnknownAge_of_Voted","Council_Dist_Female_of_Registered","Council_Dist_Male_of_Registered","Council_Dist_UnknownSex_of_Registered","Council_Dist_Ages16to17_of_Registered","Council_Dist_Ages18to29_of_Registered","Council_Dist_Ages30to49_of_Registered","Council_Dist_Ages50to64_of_Registered","Council_Dist_Ages65plus_of_Registered","Council_Dist_UnknownAge_of_Registered","Council_Dist_Votes_by_Mail_Percent","Council_Dist_In_Person_Votes_Percent","Council_Dist_Provisional_Votes_Percent","Council_Dist_Number_of_Democrat_Candidates","Council_Dist_Number_of_Republican_Candidates"
"250","27-033",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,4,33.56,40.24,119.9,2.97,62.46,37.45,0.09,0.24,10.59,25.68,28.98,29.39,5.12,56.28,43.6,0.12,0.55,14.76,32.61,24.69,27.32,0.06,97.36,2.32,0.31,10,0
"251","27-034",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,4,33.56,40.24,119.9,2.97,62.46,37.45,0.09,0.24,10.59,25.68,28.98,29.39,5.12,56.28,43.6,0.12,0.55,14.76,32.61,24.69,27.32,0.06,97.36,2.32,0.31,10,0
"252","27-035",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,4,33.56,40.24,119.9,2.97,62.46,37.45,0.09,0.24,10.59,25.68,28.98,29.39,5.12,56.28,43.6,0.12,0.55,14.76,32.61,24.69,27.32,0.06,97.36,2.32,0.31,10,0
"253","27-036",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,4,33.56,40.24,119.9,2.97,62.46,37.45,0.09,0.24,10.59,25.68,28.98,29.39,5.12,56.28,43.6,0.12,0.55,14.76,32.61,24.69,27.32,0.06,97.36,2.32,0.31,10,0
"254","27-037",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,4,33.56,40.24,119.9,2.97,62.46,37.45,0.09,0.24,10.59,25.68,28.98,29.39,5.12,56.28,43.6,0.12,0.55,14.76,32.61,24.69,27.32,0.06,97.36,2.32,0.31,10,0
"255","27-038",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,4,33.56,40.24,119.9,2.97,62.46,37.45,0.09,0.24,10.59,25.68,28.98,29.39,5.12,56.28,43.6,0.12,0.55,14.76,32.61,24.69,27.32,0.06,97.36,2.32,0.31,10,0
"256","27-039",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,4,33.56,40.24,119.9,2.97,62.46,37.45,0.09,0.24,10.59,25.68,28.98,29.39,5.12,56.28,43.6,0.12,0.55,14.76,32.61,24.69,27.32,0.06,97.36,2.32,0.31,10,0
"257","27-040",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,4,33.56,40.24,119.9,2.97,62.46,37.45,0.09,0.24,10.59,25.68,28.98,29.39,5.12,56.28,43.6,0.12,0.55,14.76,32.61,24.69,27.32,0.06,97.36,2.32,0.31,10,0
"258","27-041",43,30.7,35.68,116.2,4.15,61.13,38.77,0.09,0.21,11.57,28.28,25.93,28.76,5.25,54.55,45.3,0.15,0.41,15.7,34.92,22.61,26.27,0.08,4,33.56,40.24,119.9,2.97,62.46,37.45,0.09,0.24,10.59,25.68,28.98,29.39,5.12,56.28,43.6,0.12,0.55,14.76,32.61,24.69,27.32,0.06,97.36,2.32,0.31,10,0
"259","27-042",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,5,33.15,41.5,125.18,5.28,59.82,40.05,0.13,0.36,11.34,22.58,25.09,35.96,4.68,55.47,44.33,0.2,0.5,13.96,28.75,21.05,35.69,0.05,96.95,2.72,0.33,2,1
"260","27-043",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,6,28.3,33.31,117.7,3.06,62.96,37,0.04,0.17,9.24,22.49,27.81,35.46,4.83,54.51,45.38,0.1,0.39,13.04,28.72,25.36,32.35,0.13,96.44,3.19,0.37,3,1
"261","27-044",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,6,28.3,33.31,117.7,3.06,62.96,37,0.04,0.17,9.24,22.49,27.81,35.46,4.83,54.51,45.38,0.1,0.39,13.04,28.72,25.36,32.35,0.13,96.44,3.19,0.37,3,1
"262","27-045",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,6,28.3,33.31,117.7,3.06,62.96,37,0.04,0.17,9.24,22.49,27.81,35.46,4.83,54.51,45.38,0.1,0.39,13.04,28.72,25.36,32.35,0.13,96.44,3.19,0.37,3,1
"263","27-046",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,14,29.7,34.25,115.32,4.83,59.01,40.92,0.07,0.2,11.17,31,21.82,30.71,5.1,53.94,45.88,0.18,0.31,15.42,37.29,19.18,27.72,0.08,97.82,1.83,0.34,4,1
"264","27-047",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,7,25.29,32.39,128.11,2.47,61.28,38.62,0.09,0.12,11.31,28.75,27.48,27.12,5.23,53.41,46.44,0.15,0.32,14.31,33.38,24.92,26.84,0.24,96.82,2.69,0.48,5,1
"265","27-048",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,6,28.3,33.31,117.7,3.06,62.96,37,0.04,0.17,9.24,22.49,27.81,35.46,4.83,54.51,45.38,0.1,0.39,13.04,28.72,25.36,32.35,0.13,96.44,3.19,0.37,3,1
"266","27-049",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,5,33.15,41.5,125.18,5.28,59.82,40.05,0.13,0.36,11.34,22.58,25.09,35.96,4.68,55.47,44.33,0.2,0.5,13.96,28.75,21.05,35.69,0.05,96.95,2.72,0.33,2,1
"267","27-050",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,5,33.15,41.5,125.18,5.28,59.82,40.05,0.13,0.36,11.34,22.58,25.09,35.96,4.68,55.47,44.33,0.2,0.5,13.96,28.75,21.05,35.69,0.05,96.95,2.72,0.33,2,1
"268","27-051",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,5,33.15,41.5,125.18,5.28,59.82,40.05,0.13,0.36,11.34,22.58,25.09,35.96,4.68,55.47,44.33,0.2,0.5,13.96,28.75,21.05,35.69,0.05,96.95,2.72,0.33,2,1
"269","27-052",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,6,28.3,33.31,117.7,3.06,62.96,37,0.04,0.17,9.24,22.49,27.81,35.46,4.83,54.51,45.38,0.1,0.39,13.04,28.72,25.36,32.35,0.13,96.44,3.19,0.37,3,1
"270","27-053",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,6,28.3,33.31,117.7,3.06,62.96,37,0.04,0.17,9.24,22.49,27.81,35.46,4.83,54.51,45.38,0.1,0.39,13.04,28.72,25.36,32.35,0.13,96.44,3.19,0.37,3,1
"271","27-054",40,21.95,27.23,124.05,4.16,60.4,39.5,0.1,0.11,12.23,27.73,26.74,27.99,5.2,53.17,46.66,0.17,0.28,15.07,34.97,23.37,26.11,0.19,6,28.3,33.31,117.7,3.06,62.96,37,0.04,0.17,9.24,22.49,27.81,35.46,4.83,54.51,45.38,0.1,0.39,13.04,28.72,25.36,32.35,0.13,96.44,3.19,0.37,3,1
"272","27-055",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,6,28.3,33.31,117.7,3.06,62.96,37,0.04,0.17,9.24,22.49,27.81,35.46,4.83,54.51,45.38,0.1,0.39,13.04,28.72,25.36,32.35,0.13,96.44,3.19,0.37,3,1
"273","27-056",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,6,28.3,33.31,117.7,3.06,62.96,37,0.04,0.17,9.24,22.49,27.81,35.46,4.83,54.51,45.38,0.1,0.39,13.04,28.72,25.36,32.35,0.13,96.44,3.19,0.37,3,1
"274","27-057",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,5,33.15,41.5,125.18,5.28,59.82,40.05,0.13,0.36,11.34,22.58,25.09,35.96,4.68,55.47,44.33,0.2,0.5,13.96,28.75,21.05,35.69,0.05,96.95,2.72,0.33,2,1
"275","27-058",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,6,28.3,33.31,117.7,3.06,62.96,37,0.04,0.17,9.24,22.49,27.81,35.46,4.83,54.51,45.38,0.1,0.39,13.04,28.72,25.36,32.35,0.13,96.44,3.19,0.37,3,1
"276","27-059",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,5,33.15,41.5,125.18,5.28,59.82,40.05,0.13,0.36,11.34,22.58,25.09,35.96,4.68,55.47,44.33,0.2,0.5,13.96,28.75,21.05,35.69,0.05,96.95,2.72,0.33,2,1
"277","27-060",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,5,33.15,41.5,125.18,5.28,59.82,40.05,0.13,0.36,11.34,22.58,25.09,35.96,4.68,55.47,44.33,0.2,0.5,13.96,28.75,21.05,35.69,0.05,96.95,2.72,0.33,2,1
"278","27-061",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,5,33.15,41.5,125.18,5.28,59.82,40.05,0.13,0.36,11.34,22.58,25.09,35.96,4.68,55.47,44.33,0.2,0.5,13.96,28.75,21.05,35.69,0.05,96.95,2.72,0.33,2,1
"279","27-062",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,5,33.15,41.5,125.18,5.28,59.82,40.05,0.13,0.36,11.34,22.58,25.09,35.96,4.68,55.47,44.33,0.2,0.5,13.96,28.75,21.05,35.69,0.05,96.95,2.72,0.33,2,1
"280","27-063",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,5,33.15,41.5,125.18,5.28,59.82,40.05,0.13,0.36,11.34,22.58,25.09,35.96,4.68,55.47,44.33,0.2,0.5,13.96,28.75,21.05,35.69,0.05,96.95,2.72,0.33,2,1
"281","27-064",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,5,33.15,41.5,125.18,5.28,59.82,40.05,0.13,0.36,11.34,22.58,25.09,35.96,4.68,55.47,44.33,0.2,0.5,13.96,28.75,21.05,35.69,0.05,96.95,2.72,0.33,2,1
"282","27-065",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,5,33.15,41.5,125.18,5.28,59.82,40.05,0.13,0.36,11.34,22.58,25.09,35.96,4.68,55.47,44.33,0.2,0.5,13.96,28.75,21.05,35.69,0.05,96.95,2.72,0.33,2,1
"283","27-066",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,5,33.15,41.5,125.18,5.28,59.82,40.05,0.13,0.36,11.34,22.58,25.09,35.96,4.68,55.47,44.33,0.2,0.5,13.96,28.75,21.05,35.69,0.05,96.95,2.72,0.33,2,1
"284","27-067",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,5,33.15,41.5,125.18,5.28,59.82,40.05,0.13,0.36,11.34,22.58,25.09,35.96,4.68,55.47,44.33,0.2,0.5,13.96,28.75,21.05,35.69,0.05,96.95,2.72,0.33,2,1
"285","28-001",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,5,33.15,41.5,125.18,5.28,59.82,40.05,0.13,0.36,11.34,22.58,25.09,35.96,4.68,55.47,44.33,0.2,0.5,13.96,28.75,21.05,35.69,0.05,96.95,2.72,0.33,2,1
"286","28-002",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,5,33.15,41.5,125.18,5.28,59.82,40.05,0.13,0.36,11.34,22.58,25.09,35.96,4.68,55.47,44.33,0.2,0.5,13.96,28.75,21.05,35.69,0.05,96.95,2.72,0.33,2,1
"287","28-003",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,6,28.3,33.31,117.7,3.06,62.96,37,0.04,0.17,9.24,22.49,27.81,35.46,4.83,54.51,45.38,0.1,0.39,13.04,28.72,25.36,32.35,0.13,96.44,3.19,0.37,3,1
"288","28-004",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,5,33.15,41.5,125.18,5.28,59.82,40.05,0.13,0.36,11.34,22.58,25.09,35.96,4.68,55.47,44.33,0.2,0.5,13.96,28.75,21.05,35.69,0.05,96.95,2.72,0.33,2,1
"289","28-005",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,5,33.15,41.5,125.18,5.28,59.82,40.05,0.13,0.36,11.34,22.58,25.09,35.96,4.68,55.47,44.33,0.2,0.5,13.96,28.75,21.05,35.69,0.05,96.95,2.72,0.33,2,1
"290","28-006",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,8,29.93,35.8,119.58,2.48,63.85,36.1,0.06,0.16,10.63,23.07,29.25,31.58,5.31,55.94,43.96,0.1,0.35,15.73,30.1,24.57,29.16,0.1,96.06,3.68,0.26,2,0
"291","28-007",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,8,29.93,35.8,119.58,2.48,63.85,36.1,0.06,0.16,10.63,23.07,29.25,31.58,5.31,55.94,43.96,0.1,0.35,15.73,30.1,24.57,29.16,0.1,96.06,3.68,0.26,2,0
"292","28-008",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,8,29.93,35.8,119.58,2.48,63.85,36.1,0.06,0.16,10.63,23.07,29.25,31.58,5.31,55.94,43.96,0.1,0.35,15.73,30.1,24.57,29.16,0.1,96.06,3.68,0.26,2,0
"293","28-009",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,8,29.93,35.8,119.58,2.48,63.85,36.1,0.06,0.16,10.63,23.07,29.25,31.58,5.31,55.94,43.96,0.1,0.35,15.73,30.1,24.57,29.16,0.1,96.06,3.68,0.26,2,0
"294","28-010",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,8,29.93,35.8,119.58,2.48,63.85,36.1,0.06,0.16,10.63,23.07,29.25,31.58,5.31,55.94,43.96,0.1,0.35,15.73,30.1,24.57,29.16,0.1,96.06,3.68,0.26,2,0
"295","28-011",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,8,29.93,35.8,119.58,2.48,63.85,36.1,0.06,0.16,10.63,23.07,29.25,31.58,5.31,55.94,43.96,0.1,0.35,15.73,30.1,24.57,29.16,0.1,96.06,3.68,0.26,2,0
"296","28-012",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,8,29.93,35.8,119.58,2.48,63.85,36.1,0.06,0.16,10.63,23.07,29.25,31.58,5.31,55.94,43.96,0.1,0.35,15.73,30.1,24.57,29.16,0.1,96.06,3.68,0.26,2,0
"297","28-013",44,22.97,28.74,125.09,2.59,63.49,36.37,0.14,0.15,10.37,23.7,30.86,29.94,4.98,54.19,45.66,0.15,0.34,14.95,30.79,25.78,27.92,0.21,8,29.93,35.8,119.58,2.48,63.85,36.1,0.06,0.16,10.63,23.07,29.25,31.58,5.31,55.94,43.96,0.1,0.35,15.73,30.1,24.57,29.16,0.1,96.06,3.68,0.26,2,0
"298","28-014",44,22.97,28.74,125.09,2.59,63.49,36.37,0.14,0.15,10.37,23.7,30.86,29.94,4.98,54.19,45.66,0.15,0.34,14.95,30.79,25.78,27.92,0.21,8,29.93,35.8,119.58,2.48,63.85,36.1,0.06,0.16,10.63,23.07,29.25,31.58,5.31,55.94,43.96,0.1,0.35,15.73,30.1,24.57,29.16,0.1,96.06,3.68,0.26,2,0
"299","28-015",41,31.37,37.29,118.87,3.85,61.35,38.57,0.08,0.26,10.46,22.92,26.66,34.77,4.93,55.3,44.57,0.13,0.43,13.96,29.02,22.95,33.54,0.09,8,29.93,35.8,119.58,2.48,63.85,36.1,0.06,0.16,10.63,23.07,29.25,31.58,5.31,55.94,43.96,0.1,0.35,15.73,30.1,24.57,29.16,0.1,96.06,3.68,0.26,2,0
