County,County Name,Precinct,Congressional,Legislative,Office Name,Candidate Name,Party,Winner,Write-In?,Early Votes for Candidate,Early Votes Against,Election Night Votes for Candidate,Election Night Votes Against,Mail-In Ballot 1 Votes for Candidate,Mail-In Ballot 1 Votes Against,Provisional Votes for Candidate,Provisional Votes Against,Mail-In Ballot 2 Votes for Candidate,Mail-In Ballot 2 Votes Against,Total Votes For Candidate,Total Votes Against,Total Votes Cast
03,Baltimore City,001-003,07,46,House of Delegates,Mark Edelson,DEM,Y,NA,84,NA,296,NA,151,NA,30,NA,102,NA,663,0,663
03,Baltimore City,001-003,07,46,House of Delegates,Robbyn Lewis,DEM,Y,NA,75,NA,283,NA,142,NA,28,NA,101,NA,629,0,629
03,Baltimore City,001-003,07,46,House of Delegates,Other Write-Ins,NA,NA,Y,1,NA,2,NA,0,NA,0,NA,1,NA,4,0,4
03,Baltimore City,001-003,07,46,Judge Circuit Court,Erik Atas,JUD,Y,NA,51,NA,204,NA,84,NA,15,NA,57,NA,411,0,411
03,Baltimore City,001-003,07,46,Judge Circuit Court,Charles Mario Blomquist,JUD,Y,NA,59,NA,190,NA,84,NA,12,NA,59,NA,404,0,404
03,Baltimore City,001-003,07,46,Judge Circuit Court,Myshala E. Middleton,JUD,Y,NA,61,NA,219,NA,89,NA,18,NA,64,NA,451,0,451
03,Baltimore City,001-003,07,46,Judge Circuit Court,Barry G. Williams,JUD,Y,NA,59,NA,199,NA,86,NA,19,NA,61,NA,424,0,424
03,Baltimore City,001-003,07,46,Judge Circuit Court,Other Write-Ins,NA,NA,Y,3,NA,8,NA,2,NA,0,NA,2,NA,15,0,15
03,Baltimore City,001-003,07,46,Judge Spec Appeal at Lg,Stuart R. Berger,JUD,Y,NA,71,10,243,59,106,22,19,6,70,16,509,113,622
03,Baltimore City,001-003,07,46,Judge Spec Appeal at Lg,Terrence M. R. Zic,JUD,Y,NA,59,19,234,61,99,23,20,8,57,23,469,134,603
03,Baltimore City,001-003,07,46,State's Attorney,Ivan Bates,DEM,Y,NA,95,NA,342,NA,161,NA,35,NA,120,NA,753,0,753
03,Baltimore City,001-003,07,46,State's Attorney,Other Write-Ins,NA,NA,Y,1,NA,3,NA,0,NA,0,NA,0,NA,4,0,4
03,Baltimore City,001-003,07,46,Clerk Circuit Court,Xavier A. Conaway,DEM,Y,NA,71,NA,304,NA,120,NA,35,NA,97,NA,627,0,627
03,Baltimore City,001-003,07,46,Clerk Circuit Court,Other Write-Ins,NA,NA,Y,4,NA,11,NA,6,NA,0,NA,3,NA,24,0,24
03,Baltimore City,001-003,07,46,Register of Wills,Belinda K. Conaway,DEM,Y,NA,74,NA,307,NA,121,NA,35,NA,94,NA,631,0,631
03,Baltimore City,001-003,07,46,Register of Wills,Other Write-Ins,NA,NA,Y,2,NA,5,NA,2,NA,0,NA,2,NA,11,0,11
03,Baltimore City,001-003,07,46,Judge Orphans' Court,"Charles ""Chuck"" Bernstein",DEM,Y,NA,68,NA,270,NA,112,NA,25,NA,77,NA,552,0,552
03,Baltimore City,001-003,07,46,Judge Orphans' Court,Lewyn Scott Garrett,DEM,Y,NA,68,NA,252,NA,111,NA,25,NA,76,NA,532,0,532
03,Baltimore City,001-003,07,46,Judge Orphans' Court,Michele E. Loewenthal,DEM,Y,NA,71,NA,268,NA,119,NA,30,NA,81,NA,569,0,569
03,Baltimore City,001-003,07,46,Judge Orphans' Court,Other Write-Ins,NA,NA,Y,3,NA,3,NA,1,NA,0,NA,0,NA,7,0,7
03,Baltimore City,001-003,07,46,Sheriff,Sam Cogen,DEM,Y,NA,86,NA,316,NA,133,NA,34,NA,93,NA,662,0,662
03,Baltimore City,001-003,07,46,Sheriff,Other Write-Ins,NA,NA,Y,0,NA,2,NA,2,NA,0,NA,1,NA,5,0,5
03,Baltimore City,001-003,07,46,Board of Ed at Large,April Christina Curley,NON,NA,NA,36,NA,113,NA,51,NA,9,NA,35,NA,244,0,244
03,Baltimore City,001-003,07,46,Board of Ed at Large,Ashley E. Esposito,NON,Y,NA,36,NA,185,NA,68,NA,17,NA,61,NA,367,0,367
03,Baltimore City,001-003,07,46,Board of Ed at Large,Salimah Jasani,NON,NA,NA,42,NA,120,NA,57,NA,8,NA,49,NA,276,0,276
03,Baltimore City,001-003,07,46,Board of Ed at Large,Kwame Kenyatta-Bey,NON,Y,NA,15,NA,84,NA,29,NA,5,NA,18,NA,151,0,151
03,Baltimore City,001-003,07,46,Board of Ed at Large,Other Write-Ins,NA,NA,Y,0,NA,2,NA,0,NA,0,NA,0,NA,2,0,2
03,Baltimore City,001-004,07,46,Governor / Lt. Governor,Dan Cox and Gordana Schifanelli,REP,NA,NA,29,NA,117,NA,15,NA,7,NA,11,NA,179,0,179
03,Baltimore City,001-004,07,46,Governor / Lt. Governor,Wes Moore and Aruna Miller,DEM,Y,NA,121,NA,433,NA,201,NA,55,NA,98,NA,908,0,908
03,Baltimore City,001-004,07,46,Governor / Lt. Governor,David Lashar and Christiana Logansmith,LIB,NA,NA,1,NA,16,NA,3,NA,0,NA,1,NA,21,0,21
